Bin Center, Count
0.7155, 908
0.7165, 926
0.7175, 936
0.7185, 878
0.7195, 977
0.7205, 895
0.7215, 915
0.7225, 864
0.7235, 846
0.7245, 958
0.7255, 930
0.7265, 893
0.7275, 917
0.7285, 891
0.7295, 918
0.7305, 968
0.7315, 896
0.7325, 862
0.7335, 919
0.7345, 884
0.7355, 966
0.7365, 947
0.7375, 881
0.7385, 921
0.7395, 876
0.7405, 893
0.7415, 884
0.7425, 876
0.7435, 925
0.7445, 846
0.7455, 871
0.7465, 932
0.7475, 876
0.7485, 887
0.7495, 895
0.7505, 893
0.7515, 882
0.7525, 904
0.7535, 847
0.7545, 899
0.7555, 899
0.7565, 873
0.7575, 868
0.7585, 912
0.7595, 893
0.7605, 926
0.7615, 871
0.7625, 879
0.7635, 1314
0.7645, 881
0.7655, 914
0.7665, 839
0.7675, 895
0.7685, 876
0.7695, 896
0.7705, 934
0.7715, 938
0.7725, 881
0.7735, 849
0.7745, 882
0.7755, 872
0.7765, 852
0.7775, 915
0.7785, 845
0.7795, 862
0.7805, 929
0.7815, 841
0.7825, 831
0.7835, 884
0.7845, 874
0.7855, 861
0.7865, 895
0.7875, 864
0.7885, 915
0.7895, 849
0.7905, 911
0.7915, 918
0.7925, 912
0.7935, 910
0.7945, 863
0.7955, 926
0.7965, 854
0.7975, 951
0.7985, 864
0.7995, 877
0.8005, 893
0.8015, 895
0.8025, 898
0.8035, 920
0.8045, 843
0.8055, 863
0.8065, 883
0.8075, 864
0.8085, 894
0.8095, 954
0.8105, 881
0.8115, 844
0.8125, 932
0.8135, 903
0.8145, 868
0.8155, 913
0.8165, 889
0.8175, 903
0.8185, 908
0.8195, 916
0.8205, 876
0.8215, 881
0.8225, 924
0.8235, 928
0.8245, 893
0.8255, 886
0.8265, 878
0.8275, 897
0.8285, 911
0.8295, 940
0.8305, 896
0.8315, 939
0.8325, 885
0.8335, 886
0.8345, 966
0.8355, 952
0.8365, 875
0.8375, 892
0.8385, 873
0.8395, 921
0.8405, 893
0.8415, 933
0.8425, 922
0.8435, 955
0.8445, 888
0.8455, 969
0.8465, 932
0.8475, 905
0.8485, 921
0.8495, 945
0.8505, 960
0.8515, 994
0.8525, 951
0.8535, 891
0.8545, 1015
0.8555, 956
0.8565, 896
0.8575, 990
0.8585, 981
0.8595, 939
0.8605, 948
0.8615, 987
0.8625, 947
0.8635, 985
0.8645, 947
0.8655, 942
0.8665, 942
0.8675, 965
0.8685, 904
0.8695, 955
0.8705, 995
0.8715, 996
0.8725, 985
0.8735, 910
0.8745, 1006
0.8755, 962
0.8765, 963
0.8775, 943
0.8785, 969
0.8795, 1018
0.8805, 971
0.8815, 945
0.8825, 1035
0.8835, 1022
0.8845, 1010
0.8855, 987
0.8865, 961
0.8875, 1049
0.8885, 1003
0.8895, 1006
0.8905, 1013
0.8915, 993
0.8925, 987
0.8935, 955
0.8945, 984
0.8955, 1012
0.8965, 973
0.8975, 934
0.8985, 992
0.8995, 1016
0.9005, 1020
0.9015, 1001
0.9025, 1040
0.9035, 1021
0.9045, 1038
0.9055, 1028
0.9065, 1009
0.9075, 1044
0.9085, 988
0.9095, 998
0.9105, 997
0.9115, 1078
0.9125, 963
0.9135, 988
0.9145, 992
0.9155, 1021
0.9165, 1030
0.9175, 1054
0.9185, 1034
0.9195, 1002
0.9205, 1088
0.9215, 1083
0.9225, 1073
0.9235, 1054
0.9245, 1042
0.9255, 1089
0.9265, 1056
0.9275, 1033
0.9285, 1094
0.9295, 1072
0.9305, 1072
0.9315, 1052
0.9325, 1114
0.9335, 1082
0.9345, 1101
0.9355, 1100
0.9365, 1045
0.9375, 1080
0.9385, 1099
0.9395, 1092
