BinCenter,Count
0.9895,12438
0.9905,12439
0.9915,12609
0.9925,12713
0.9935,12681
0.9945,12813
0.9955,12604
0.9965,12971
0.9975,12751
0.9985,12832
0.9995,13129
1.0005,12989
1.0015,13126
1.0025,13149
1.0035,13379
1.0045,13389
1.0055,13295
1.0065,13126
1.0075,13317
1.0085,13452
1.0095,13529
1.0105,13572
1.0115,13448
1.0125,13784
1.0135,13958
1.0145,13731
1.0155,14032
1.0165,13911
1.0175,14191
1.0185,14172
1.0195,14411
1.0205,14556
1.0215,14385
1.0225,14610
1.0235,14663
1.0245,14715
1.0255,14881
1.0265,14767
1.0275,14862
1.0285,14924
1.0295,15125
1.0305,15712
1.0315,15450
1.0325,15661
1.0335,15919
1.0345,15777
1.0355,16176
1.0365,16105
1.0375,16239
1.0385,16408
1.0395,16394
1.0405,16798
1.0415,16629
1.0425,16799
1.0435,17173
1.0445,17259
1.0455,17538
1.0465,17625
1.0475,17633
1.0485,17550
1.0495,18152
1.0505,18578
1.0515,18618
1.0525,18507
1.0535,18956
1.0545,19212
1.0555,19734
1.0565,19875
1.0575,20004
1.0585,20260
1.0595,20601
1.0605,20658
1.0615,17889
1.0625,10510
1.0635,10477
1.0645,10632
1.0655,10488
1.0665,10614
1.0675,10449
1.0685,10303
1.0695,10435
1.0705,10021
1.0715,10293
1.0725,10227
1.0735,10202
1.0745,10065
1.0755,10119
1.0765,9990
1.0775,10030
1.0785,9824
1.0795,9950
1.0805,9849
1.0815,9950
1.0825,9871
1.0835,9763
1.0845,9726
1.0855,9817
1.0865,9568
1.0875,9797
1.0885,9416
1.0895,9513
1.0905,9489
1.0915,9342
1.0925,9477
1.0935,9277
1.0945,9377
1.0955,9289
1.0965,9255
1.0975,9152
1.0985,9197
1.0995,9074
1.1005,9081
1.1015,9027
1.1025,8944
1.1035,8877
1.1045,9001
1.1055,8762
1.1065,8998
1.1075,8784
1.1085,8855
1.1095,8732
1.1105,8673
1.1115,8651
1.1125,8621
1.1135,8513
1.1145,8149
1.1155,8473
1.1165,8418
1.1175,8303
1.1185,8442
1.1195,8200
1.1205,8020
1.1215,8014
1.1225,7930
